"id","dtCreated","name","shortName","description","shortDescription"
1,2014-01-01,"Motus Ontario Array","MotusON","Array of ~100 towers maintained by Bird Studies Canada in support of all projects.","Array of ~100 towers maintained by Bird Studies Canada in support of all projects."
2,2014-01-01,"Motus Atlantic Array","MotusATL","Array of 50+ towers maintained by Bird Studies Canada in support of all projects.","Array of 50+ towers maintained by Bird Studies Canada in support of all projects."
3,2014-01-01,"EC-Quebec-St.Laurent","Quebec","Details to come.","Shorebird projects based along the St.Lawrence river.
PI: Yves Aubry (Environment Canada)"
4,2015-01-01,"Region 4 USFWS  ","USFWS_R4","Currently, this project houses all Motus stations operated by the Region 4 (Southeast) U.S. Fish & Wildlife Service National Wildlife Refuge System.","Motus stations operated by Region 4 USFWS National Wildlife Refuge System."
5,2014-01-01,"Available","Avail","","This project is available."
6,2016-01-01,"Panama Gateway ","Panama","Four towers across the canal zone of Panama maintained by Panama Audubon and Bird Studies Canada in collaboration with the Smithsonian Tropical Research Institute, The Canopy Tower and Canopy Tower Family, and City of Panama.","Four towers across the canal zone of Panama maintained for all to benefit by Panama Audubon and Bird Studies Canada."
7,2013-01-01,"Welch","Welch","The USFWS, Maine Coastal Islands NWR has been tagging common and Arctic terns on five breeding colonies in Maine over the past four years. In 2012-13, we tagged terns on Petit Manan Island. In 2014-15, we tagged terns on Metinic, Matinicus Rock, and Seal Islands. We also tagged a small number of common terns on Ship Island in 2014.  Our objectives are to determine foraging behavior of incubating and chick-rearing terns (i.e. number of foraging trips per day, length of foraging trips, flight direction of foraging trips, and daily patterns of activity). WE want to compare foraging patterns between incubation and chick rearing terns. Ideally we would like to identify foraging locations but the offshore location of breeding colonies does generally not allow for nearby towers. We are also using data collected after the terns disperse from the colonies to identify migration pathways and staging areas.","Maine Coastal Islands National Wildlife Refuge has been tagging common and Arctic terns on a number of breeding colonies in Maine since 2012."
8,2013-01-01,"Holberton 2013-14","HolbSESA","We applied nanotags to Semipalmated sandpipers (30 SESA + 4 ""other"" in 2013; 41 SESA in 2014) captured on stopover during fall migration in the Narraguagus Bay area in Downeast Maine.  This region is primarily active with fish, lobster, and shellfish harbesting, and represents a relatively undisturbed area compared to coastal areas in southern Maine that are heavily used by beach-goers. Birds were captured on feeding areas (mudflats) via passive mistnetting during low tide, and at roost sites on offshore rock ledge by hand-held rocket netting from a small boat during high tide. All tagged SESAs were subsequently detected and showed regular, tide-cycle-dependent movements between feeding areas along the rivers leading into Narraguagus Bay and offshore ledge roost sites.  In general, juvenile (HY) birds were more likely to be in lower body condition (fat-free mass) compared to adults and showed a longer post-deployment period leading to departure than adults did. A significant finding in this study is the confirmation that birds staging in this area depart directly from it to embark on a trans-oceanic flight to Central/So America.  In both years, none of the SESAs tagged at this site were detected in areas to the north/east or south.  This is in contrast to birds tagged on stopover in southern Maine and illustrates the importance of the Downeast sites in supporting efficient migration.  In 2015-16, this project will move to southern Maine to investigate stopover behavior at two areas of high human activity to compare within-site movements, stopover period, and departure decisions of these birds to those Downeast, and to determine currently unknown feeding and roosting sites.","In 2013-14, we tracked movements of ~ 75 Semipalmated Sandpipers in Downeast Maine to better understand stopover habitat use."
9,2013-01-01,"Parker River/Great Bay Refuge","Pau","shorebirds work: 2013 (30 SESA), 2014 (23 SESA), 2015 (8 SESA)
bat work: 2014(10 bats), 2015 (8 bats); 2016 
Sparrow: 2014 (6 SALS), 2015(17 SALS); 2016 ","bat, shorebird, and saltmarsh sparrows nanotag projects in northeast MA and southern NH.  3 towers at Parker River, 2 at Great Bay"
10,2013-01-01,"Taylor - receivers","Taylr","Receiver array as part of projects related to Dr. Phil Taylor","Receiver array as part of projects related to Dr. Phil Taylor"
11,2013-01-01,"Peterson","Peter","Migratory Bat pilot project in Maine.
Trevor Peterson - Stantec Bats","Migratory Bat pilot project in Maine."
12,2013-01-01,"Smetzer","Smetzer","Songbird migration and implications for offshore wind development. 
We outfitted red-eyed vireos and blackpoll warblers with nano tags at the Petit Manan Wildlife Refuge in Steuben Maine. We are tracking the birds to help inform responsible siting and operation of wind farms in the Gulf of Maine. 

Red-eyed vireos and blackpoll warblers stopover and migration at Petit Manan Wildlife Refuge in Steuben Maine. 

We outfitted red-eyed vireos and blackpoll warblers with nano tags at the Petit Manan Wildlife Refuge in Steuben Maine. We are tracking the birds to help inform responsible siting and operation of wind farms in the Gulf of Maine. See Project Smetz

Jenny Smetzer - UMASS","Red-eyed vireos and blackpoll warblers stopover and migration at Petit Manan Wildlife Refuge in Steuben Maine. "
13,2013-01-01,"Semipalmated Sandpipers in the Bay of Fundy","SESA BOF","Diana Hamilton - Mount Allison University
Julie Paquet - Environment Canada","Semipalmated Shorebird stopover and migration ecology in the Bay of Fundy."
14,2013-01-01,"Loring","Loring","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast"
15,2014-01-01,"Aubry","Aubry","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds.
Yves Aubry - Environment Canada - Quebec","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds."
16,2014-01-01,"Boyles","Boyles","Bat migration in the mid-west.
Dr. Justin Boyles - Southern Illinois U
","Bat migration and ecology in the mid-west."
17,2014-01-01,"Chapman","Chapman","Shoals_2014   ","Shoals_2014                    "
18,2013-01-01,"Dossman_Ohio","Dossman","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio.
Bryant Dossman - Ohio State","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio."
19,2015-01-01,"Dossman_Jamaica","Jamaica","","Movement and space-use during the non-breeding season and migration."
20,2013-01-01,"Gugli","Gugli","A variety of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada.
Chris Guglielmo - Western University","A slough of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada."
21,2013-01-01,"Taylor - Gull","TaylorGull","Gull work on Sable Island 2013","Gull work on Sable Island 2013"
22,2013-01-01,"Taylor - Ipswich Sparrow","TaylorIPSP","Ipswich Sparrow survival and migratory behaviour on Sable Island
Zoe Crysler and Dr. Phil Taylor - Acadia University 2013/2014
Lucas Berrigan and Phil Taylor - Acadia University 2016-2017
Survival and migratory behaviour of Ipswich sparrows on Sable Island, Nova Scotia. Lucas Berrigan and Phil Taylor at Acadia University 2016/17","Ipswich Sparrow survival and migratory behaviour"
23,2014-01-01,"Motus","MotusAdmin","General project administration - mostly test tags.","General project administration - mostly test tags."
24,2013-01-01,"Norris","Norris","White-throated Sparrow orientation and migration studies.
Dr. Ryan Norris, Dr. Dmitry Kishkinev - University of Guelph","White-throated Sparrow orientation and migration studies."
