"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
50,16821,7238,"active",NA,2015-05-01,2015-06-25,42.5829,-80.3984,166.38,"NTQB-1","Lotek"
50,16822,7239,"active",NA,2015-05-01,2015-06-25,42.5829,-80.3984,166.38,"NTQB-1","Lotek"
57,16985,6140,"terminated",NA,2016-03-05,2016-03-05,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19165,6199,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19162,6196,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19178,6212,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19185,6219,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19186,6220,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19187,6221,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
68,19191,6225,"active",NA,2020-07-01,2021-04-06,NA,NA,166.38,"NTQB-4-2","Lotek"
68,19189,6223,"active",NA,2019-07-01,2020-01-03,NA,NA,166.38,"NTQB-3-2","Lotek"
102,19893,12645,"active",NA,2016-05-18,2016-07-12,42.5829,-80.3985,166.38,"NTQB-1","Lotek"
102,19894,12646,"active",NA,2016-05-18,2016-07-12,42.5829,-80.3985,166.38,"NTQB-1","Lotek"
102,19895,12647,"active",NA,2016-05-18,2016-07-12,42.5829,-80.3985,166.38,"NTQB-1","Lotek"
102,19896,12648,"active",NA,2016-05-18,2016-07-12,42.5829,-80.3985,166.38,"NTQB-1","Lotek"
102,19897,12649,"active",NA,2016-05-18,2016-07-12,42.5829,-80.3985,166.38,"NTQB-1","Lotek"
130,23123,11438,"active",NA,2017-03-08,2019-08-14,-42.4686,-73.5399,166.38,"NTQB-6-2","Lotek"
130,23123,11439,"active",NA,2017-04-05,2019-09-11,-42.5137,-73.8157,166.38,"NTQB-6-2","Lotek"
265,24367,24832,"active",NA,2019-09-01,2020-06-03,NA,NA,166.38,"NTQB-3-2","Lotek"
265,24374,24831,"active",NA,2019-09-01,2020-04-14,NA,NA,166.38,"NTQB-3-2","Lotek"
154,25082,12058,"terminated",NA,2017-05-24,2017-05-25,42.871,-80.7433,166.38,"NTQB-4-2","Lotek"
180,26876,14235,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26877,14236,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26878,14237,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26879,14238,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26880,14239,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26881,14240,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26882,14241,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26883,14242,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26884,14243,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
180,26885,14244,"active",NA,2017-09-19,2018-06-19,NA,NA,166.38,"ANTC-M4-2S","Lotek"
163,27138,14861,"active",NA,2017-10-04,2017-11-03,NA,NA,166.38,"NTQB-1","Lotek"
163,27138,14862,"active",NA,2017-10-05,2017-11-04,NA,NA,166.38,"NTQB-1","Lotek"
163,27138,14863,"active",NA,2017-10-05,2017-11-04,NA,NA,166.38,"NTQB-1","Lotek"
48,27123,20352,"terminated",NA,2019-01-07,2019-01-09,38.241,-75.136,166.38,"ANTCW-M6-1","Lotek"
48,27123,20523,"terminated",NA,2019-01-22,2019-01-23,38.241,-75.136,166.38,"ANTCW-M6-1","Lotek"
22,27800,22330,"active",NA,2019-05-01,2019-09-01,NA,NA,166.38,"ANTC-M2-1","Lotek"
22,27800,22331,"active",NA,2019-05-02,2019-09-02,NA,NA,166.38,"ANTC-M2-1","Lotek"
22,27800,22336,"active",NA,2019-05-03,2019-09-03,NA,NA,166.38,"ANTC-M2-1","Lotek"
22,27800,22337,"active",NA,2019-05-03,2019-09-03,NA,NA,166.38,"ANTC-M2-1","Lotek"
22,27800,22266,"active",NA,2019-04-20,2019-08-21,NA,NA,166.38,"ANTC-M2-1","Lotek"
22,27800,24617,"active",NA,2019-09-03,2020-01-04,NA,NA,166.38,"ANTC-M2-1","Lotek"
113,27617,15746,"terminated",NA,2017-11-02,2017-11-02,52.79,4.705,150.1,"ACT-521","Lotek"
185,28689,22162,"active",NA,2019-04-16,2020-04-23,NA,NA,166.38,"NTQB2-3-2","Lotek"
185,28693,22166,"active",NA,2019-04-16,2020-04-23,NA,NA,166.38,"NTQB2-3-2","Lotek"
162,28803,16794,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28804,16795,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28805,16796,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28806,16797,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28807,16798,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28808,16799,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28809,16800,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
162,28810,16801,"active",NA,2018-06-01,2019-02-01,NA,NA,166.38,"NTQB2-2","Lotek"
