deploymentID,port,frequency,type,true_bearing,height,angle
724,1,166.38,omni-mast,NULL,6,NULL
724,2,166.38,yagi-9,NULL,5.8,NULL
724,3,166.38,yagi-9,NULL,5.6,NULL
728,1,166.38,omni-mast,NULL,6,NULL
728,2,166.38,yagi-9,NULL,5.8,NULL
728,3,166.38,yagi-9,NULL,5.6,NULL
688,1,166.38,yagi-9,NULL,6,NULL
688,2,166.38,yagi-9,NULL,5.8,NULL
687,1,166.38,yagi-9,NULL,6,NULL
687,2,166.38,yagi-9,NULL,5.8,NULL
723,1,166.38,omni-mast,NULL,6,NULL
723,2,166.38,yagi-9,NULL,5.8,NULL
723,3,166.38,yagi-9,NULL,5.6,NULL
1147,1,166.38,yagi-9,NULL,6,NULL
1147,2,166.38,yagi-9,NULL,5.8,NULL
2034,1,166.38,yagi-9,16.20116,10,NULL
2034,3,166.38,yagi-9,282.2012,9.5,NULL
2034,5,166.38,yagi-9,196.2012,9,NULL
2054,1,166.38,yagi-9,244.8875,NULL,NULL
2054,2,166.38,yagi-9,119.8875,NULL,NULL
2054,3,166.38,yagi-9,14.8875,NULL,NULL
2058,1,166.38,yagi-9,14.88909,NULL,NULL
2058,2,166.38,yagi-9,274.8891,NULL,NULL
2058,3,166.38,yagi-9,144.8891,NULL,NULL
1105,1,166.38,yagi-9,33.4216,4.5,NULL
1105,2,166.38,yagi-9,278.4216,4.3,NULL
1105,3,166.38,yagi-9,153.4216,4.1,NULL
1145,1,166.38,omni-mast,NULL,6,NULL
1145,2,166.38,yagi-9,NULL,5.8,NULL
1145,3,166.38,yagi-9,NULL,5.6,NULL
1146,1,166.38,yagi-9,NULL,6,NULL
1146,2,166.38,yagi-9,NULL,5.8,NULL
686,1,166.38,yagi-9,NULL,6,NULL
686,2,166.38,yagi-9,NULL,5.8,NULL
1148,1,166.38,omni-mast,NULL,6,NULL
1148,2,166.38,yagi-9,NULL,5.8,NULL
1148,3,166.38,yagi-9,NULL,5.6,NULL
1149,1,166.38,yagi-9,NULL,6,NULL
1149,2,166.38,yagi-9,NULL,5.8,NULL
1150,1,166.38,yagi-9,NULL,6,NULL
1150,2,166.38,yagi-9,NULL,5.8,NULL
1152,1,166.38,omni-mast,NULL,6,NULL
1152,2,166.38,yagi-9,NULL,5.8,NULL
1152,3,166.38,yagi-9,NULL,5.6,NULL
2170,3,166.38,yagi-9,NULL,NULL,90
2170,5,166.38,yagi-9,NULL,3,90
2217,1,166.38,yagi-9,NULL,5,NULL
2217,2,166.38,yagi-9,NULL,4.8,NULL
699,1,166.38,yagi-9-laird,NULL,5,NULL
