sensorID,serialNumber
2049,NULL
3905,CTT-02F54E43C375
4014,CTT-04883BC5882D
3893,CTT-052B9D416332
4011,CTT-0BAB250B0059
3996,CTT-0DA90EDBCB1A
3972,CTT-106A02AABC63
3911,CTT-141CD838369F
3986,CTT-169DD9A97C7F
3912,CTT-1770F7A111BB
3913,CTT-18E6AFC445C3
3936,CTT-1B51CADBC2EF
3995,CTT-1D62CC9F5F9E
3906,CTT-1E45B4CB7F46
3894,CTT-1F37905AE0DB
3841,CTT-201912326462
3992,CTT-204583DCC5D9
3914,CTT-2512EF9F55F4
3915,CTT-25E69BBEA4AD
3997,CTT-26D6F0779024
3937,CTT-27532C924059
3987,CTT-2A5C854FDA7C
3895,CTT-2C7E930A32CA
3938,CTT-2E739BBFF797
3939,CTT-2EE41E27E49C
3940,CTT-39B99EDBFFFC
3982,CTT-3BB603397EE4
3941,CTT-3C9873F4B04E
3916,CTT-4146B772AF7D
3896,CTT-4681BCC7B72B
3942,CTT-5031194D3168
3993,CTT-5546E9790DF4
3917,CTT-56EEA786B090
3918,CTT-595E0609FDED
3907,CTT-59DC2F21328B
3891,CTT-6047CC0B70A3
3919,CTT-62EB4A46AB90
3999,CTT-680C4C95BFF4
3667,CTT-687459049265267
3892,CTT-69EE80C6236A
3920,CTT-7F7AF6FD3601
4002,CTT-85EA62781F60
3611,CTT-867459049219710
3605,CTT-867459049219769
3567,CTT-867459049219843
3500,CTT-867459049219876
3383,CTT-867459049219884
3420,CTT-867459049220189
3493,CTT-867459049220262
3288,CTT-867459049265267
3723,CTT-867459049265507
3727,CTT-867459049265507
3332,CTT-867459049265671
3531,CTT-867459049271018
3541,CTT-867459049271059
3636,CTT-867459049271059
3721,CTT-867459049273493
3739,CTT-867459049273626
3325,CTT-867459049273691
3460,CTT-867459049273717
4025,CTT-867459049273777
3358,CTT-867459049273832
3556,CTT-867459049274095
3720,CTT-867459049274186
3533,CTT-867459049274475
3535,CTT-867459049274566
3967,CTT-867459049274707
3806,CTT-867459049274871
3331,CTT-867459049274913
3717,CTT-867459049274913
3635,CTT-867459049275019
3333,CTT-867459049275027
3587,CTT-867459049275365
4009,CTT-867459049276207
3715,CTT-867459049276215
3379,CTT-867459049276348
3976,CTT-867459049276355
3615,CTT-867459049297369
3735,CTT-867459049297369
3604,CTT-867459049297419
3554,CTT-867459049297427
3534,CTT-867459049297435
3384,CTT-867459049297450
3752,CTT-867459049297468
3555,CTT-867459049297682
3490,CTT-867459049297708
3751,CTT-867459049297716
3452,CTT-867459049297740
3494,CTT-867459049297757
3351,CTT-867459049297849
3496,CTT-867459049297880
3960,CTT-867459049297922
3749,CTT-867459049297930
3617,CTT-867762040710391
3750,CTT-867762040716224
3673,CTT-867762040716513
3730,CTT-867762040717750
3714,CTT-867762040727353
3776,CTT-867762040731017
3921,CTT-86BC6CD43E43
3943,CTT-8790F53B6CF3
3944,CTT-87C77C759BBF
3945,CTT-8844392FDE05
3922,CTT-8D68D7D8EE2E
