speciesID,scientific,english,french,code,sort,photo,group
230,Branta canadensis,Canada Goose,Bernache du Canada,cangoo,154,NULL,BIRDS
2160,Hydrobates leucorhoa/socorroensis/cheimomnestes,Leach's/Townsend's/Ainley's Storm-Petrel,Océanite cul-blanc, O. de Townsend ou O. d'Ainley,y00939,3675,NULL,BIRDS
2510,Ixobrychus exilis,Least Bittern,Petit Blongios,leabit,4001,NULL,BIRDS
2720,Nycticorax nycticorax,Black-crowned Night-Heron,Bihoreau gris,bcnher,4096,NULL,BIRDS
2810,Platalea ajaja,Roseate Spoonbill,Spatule rosée,rosspo1,4161,NULL,BIRDS
2850,Cathartes aura,Turkey Vulture,Urubu à tête rouge,turvul,4167,NULL,BIRDS
3062,Circus pygargus,Montagu's Harrier,Busard cendré,monhar1,4353,NULL,BIRDS
3330,Buteo swainsoni,Swainson's Hawk,Buse de Swainson,swahaw,4530,NULL,BIRDS
3440,Aquila chrysaetos,Golden Eagle,Aigle royal,goleag,4309,NULL,BIRDS
3570,Falco sparverius,American Kestrel,Crécerelle d'Amérique,amekes,6183,NULL,BIRDS
3580,Falco columbarius,Merlin,Faucon émerillon,merlin,6203,NULL,BIRDS
3680,Coturnicops noveboracensis,Yellow Rail,Râle jaune,yelrai,2838,NULL,BIRDS
3751,Rallus crepitans,Clapper Rail,Râle tapageur,clarai11,2647,NULL,BIRDS
3761,Rallus elegans,King Rail,Râle élégant,kinrai4,2643,NULL,BIRDS
3770,Rallus limicola,Virginia Rail,Râle de Virginie,virrai,2657,NULL,BIRDS
3830,Porzana carolina,Sora,Marouette de Caroline,SORA,2734,NULL,BIRDS
4070,Pluvialis squatarola,Black-bellied Plover,Pluvier argenté,bkbplo,2957,NULL,BIRDS
4100,Pluvialis dominica,American Golden-Plover,Pluvier bronzé,amgplo,2959,NULL,BIRDS
4110,Pluvialis fulva,Pacific Golden-Plover,Pluvier fauve,pagplo,2960,NULL,BIRDS
4160,Charadrius wilsonia,Wilson's Plover,Pluvier de Wilson,wilplo,3022,NULL,BIRDS
4180,Charadrius semipalmatus,Semipalmated Plover,Pluvier semipalmé,semplo,3024,NULL,BIRDS
4190,Charadrius melodus,Piping Plover,Pluvier siffleur,pipplo,3027,NULL,BIRDS
4260,Haematopus palliatus,American Oystercatcher,Huîtrier d'Amérique,ameoys,2948,NULL,BIRDS
4280,Himantopus himantopus,Black-winged Stilt,Échasse blanche,bkwsti,2918,NULL,BIRDS
4400,Tringa brevipes,Gray-tailed Tattler,Chevalier de Sibérie,gyttat1,3218,NULL,BIRDS
4450,Tringa flavipes,Lesser Yellowlegs,Petit Chevalier,lesyel,3229,NULL,BIRDS
4460,Tringa stagnatilis,Marsh Sandpiper,Chevalier stagnatile,marsan,3231,NULL,BIRDS
4530,Numenius phaeopus,Whimbrel,Courlis corlieu,whimbr,3077,NULL,BIRDS
4600,Limosa haemastica,Hudsonian Godwit,Barge hudsonienne,hudgod,3100,NULL,BIRDS
4630,Arenaria interpres,Ruddy Turnstone,Tournepierre à collier,rudtur,3104,NULL,BIRDS
4660,Calidris tenuirostris,Great Knot,Bécasseau de l'Anadyr,grekno,3110,NULL,BIRDS
4670,Calidris canutus,Red Knot,Bécasseau maubèche,redkno,3111,NULL,BIRDS
4680,Calidris alba,Sanderling,Bécasseau sanderling,sander,3125,NULL,BIRDS
4690,Calidris pusilla,Semipalmated Sandpiper,Bécasseau semipalmé,semsan,3154,NULL,BIRDS
4700,Calidris mauri,Western Sandpiper,Bécasseau d'Alaska,wessan,3155,NULL,BIRDS
4730,Calidris temminckii,Temminck's Stint,Bécasseau de Temminck,temsti,3121,NULL,BIRDS
4750,Calidris minutilla,Least Sandpiper,Bécasseau minuscule,leasan,3146,NULL,BIRDS
4760,Calidris fuscicollis,White-rumped Sandpiper,Bécasseau à croupion blanc,whrsan,3147,NULL,BIRDS
4780,Calidris melanotos,Pectoral Sandpiper,Bécasseau à poitrine cendrée,pecsan,3151,NULL,BIRDS
4800,Calidris maritima,Purple Sandpiper,Bécasseau violet,pursan,3140,NULL,BIRDS
