"sensorDeployID","stationID","sensorID","tsStart","tsEnd","type","status","region","photo","group","comments"
629,12351,427,"1396656000","1407456000","SENSORGNOME",1,"CA.ON","NULL","9",". Checked in May sometime???"
630,11434,431,"1396656000","1407456000","SENSORGNOME",1,"CA.ON","NULL","9","ok"
631,11174,432,"1396656000","1407715200","SENSORGNOME",1,"CA.ON","NULL","9",""
632,11069,433,"1396656000","1407715200","SENSORGNOME",1,"CA.ON","NULL","9","ok"
633,12164,434,"1396656000","1407283200","SENSORGNOME",1,"CA.ON","NULL","9","ok - find new location of remove from array"
634,12204,435,"1397088000","1407196800","SENSORGNOME",1,"CA.ON","NULL","9","ok"
635,11954,436,"1396656000","1407196800","SENSORGNOME",1,"CA.ON","NULL","9","ok"
636,11050,437,"1396656000","1403049600","SENSORGNOME",1,"CA.ON","NULL","9",""
637,11209,438,"1396656000","1407801600","SENSORGNOME",1,"CA.ON","NULL","9","[BR]2021-11-25 - Checked. All goood.[BR]ok"
638,11321,428,"1397260800","1409961600","SENSORGNOME",1,"CA.ON","NULL","9","Power issues. August 8th hooked up to power from house. Seems to be working fine."
639,10999,429,"1396656000","1407715200","SENSORGNOME",1,"CA.ON","NULL","9","need to change charge controller"
640,11239,387,"1397088000","1408924800","SENSORGNOME",1,"CA.ON","NULL","9","Need to get escort from Brantford Flight Club. Bad deployment file? No data?"
641,11320,425,"1397174400","1408060800","SENSORGNOME",1,"CA.ON","NULL","9","ok"
642,11079,422,"1397174400","1403654400","SENSORGNOME",1,"CA.ON","NULL","9","some interference"
643,11310,430,"1397433600","1416355200","SENSORGNOME",1,"CA.ON","NULL","9","ok"
644,11591,400,"1397692800","1416441600","SENSORGNOME",1,"CA.ON","NULL","9","antenna data unconfirmed - huge interference - needs to be moved"
645,9907,420,"1398643200","NULL","SENSORGNOME",2,"CA.ON","NULL","9","2021-10-20. All good. difficult to access gnome, bring a step stool[BR][BR]2020-11-11. Replaced owner's battery charge controller with our own. Wasn't working since it was last checked. Up and running properly when left.[BR][BR]Plugged in with battery backup. Memo"
646,11541,401,"1397692800","1403654400","SENSORGNOME",1,"CA.ON","NULL","9","elbow upside down"
647,11534,385,"1397692800","1408060800","SENSORGNOME",1,"CA.ON","NULL","9","would benefit from being higher - needs foam"
648,12160,395,"1397779200","1462276800","SENSORGNOME",1,"CA.ON","NULL","9","Re-imaged. 2 50w panels."
649,11527,393,"1398038400","1415664000","SENSORGNOME",1,"CA.ON","NULL","9","NCC can do regular checks"
650,12130,423,"1398124800","1407974400","SENSORGNOME",1,"CA.ON","NULL","9","ok"
651,12132,417,"1398124800","1407974400","SENSORGNOME",1,"CA.ON","NULL","9","ok"
652,11418,419,"1398211200","1407801600","SENSORGNOME",1,"CA.ON","NULL","9","should probably lock"
653,11668,412,"1398211200","1407283200","SENSORGNOME",1,"CA.ON","NULL","9","ok - antenna - 40, 140, 260?"
654,9906,398,"1398297600","1407369600","SENSORGNOME",1,"CA.ON","NULL","9","moved to Mosaic"
655,11604,407,"1398297600","1407715200","SENSORGNOME",1,"CA.ON","NULL","9","move to quarry nearby"
656,12177,404,"1398384000","1416441600","SENSORGNOME",1,"CA.ON","NULL","9","move to dundas quarry"
657,11217,384,"1398384000","1407715200","SENSORGNOME",1,"CA.ON","NULL","9",""
658,11936,397,"1398556800","1403049600","SENSORGNOME",1,"CA.ON","NULL","9","tons of interference - need to relocate"
659,11573,416,"1398556800","1407974400","SENSORGNOME",1,"CA.ON","NULL","9","ok"
660,12193,390,"1398643200","1416355200","SENSORGNOME",1,"CA.ON","NULL","9","water in box? - not on august 16th visit. No memory card on November 19th"
661,11629,408,"1398729600","1403568000","SENSORGNOME",1,"CA.ON","NULL","9","wireless. Noise from nearby radio tower. find better spot"
662,11391,405,"1398729600","1416355200","SENSORGNOME",1,"CA.ON","NULL","9","needs to be moved"
663,11951,411,"1398816000","1416268800","SENSORGNOME",1,"CA.ON","NULL","9","ok"
664,11250,386,"1398816000","1402099200","SENSORGNOME",1,"CA.ON","NULL","9","poison ivy"
665,11429,410,"1398902400","1408147200","SENSORGNOME",1,"CA.ON","NULL","9","ok - get proper landowner details"
666,11445,426,"1402012800","1403654400","SENSORGNOME",1,"CA.ON","NULL","9","unplugged until June 6 - should be moved"
667,11244,391,"1398988800","1407283200","SENSORGNOME",1,"CA.ON","NULL","9","north antenna picking up lots of interference"
668,11724,421,"1399593600","1407283200","SENSORGNOME",1,"CA.ON","NULL","9","ok"
669,11728,409,"1399161600","1416355200","SENSORGNOME",1,"CA.ON","NULL","9","solar panel stolen around July 8. August 19th solar panel and batteries replaced. "
670,11339,396,"1399248000","1416355200","SENSORGNOME",1,"CA.ON","NULL","9",""
671,11067,415,"1399248000","1404691200","SENSORGNOME",1,"CA.ON","NULL","9","ok"
672,11443,388,"1399507200","1416355200","SENSORGNOME",1,"CA.ON","NULL","9","SW corner of CA might be better in future"
673,11455,392,"1399334400","1415750400","SENSORGNOME",1,"CA.ON","NULL","9",""
674,11526,389,"1399334400","1411603200","SENSORGNOME",1,"CA.ON","NULL","9","power trouble. Swapped battery and charge controller on Sept 9th, but solar panel appears to be not charging. "
675,11618,413,"1402963200","1415664000","SENSORGNOME",1,"CA.ON","NULL","9",""
676,11449,402,"1403049600","1415664000","SENSORGNOME",1,"CA.ON","NULL","9","NULL"
677,11533,394,"1403481600","1416182400","SENSORGNOME",1,"CA.ON","NULL","9","Charge controller and battery replaced August 18th. Still not working, need to fix. "
678,11564,424,"1403654400","1416441600","SENSORGNOME",1,"CA.ON","NULL","9","wifi"
679,11224,406,"1404086400","1405468740","SENSORGNOME",1,"CA.ON","NULL","9","wifi - box left open - filled with water - gear fried July 15 "
680,9909,403,"1404259200","1461919200","SENSORGNOME",1,"CA.ON","NULL","9","Re-imaged Dec 7. Dec 7 battery swapped with Trojan. 100w panel added. Morningstar controller. Swapped sd card."
