deploymentID,tag_deploy_id,species_id
3051,21171,4670
4461,12466,15580
4633,16320,15651
2315,5124,19030
2950,9794,45874
5427,24319,4690
7476,37781,NULL
7425,30034,19650
7707,33866,42067
767,5273,100270
2146,7342,13210
5382,34289,4180
4427,17168,4690
7639,31786,4630
5489,22622,8040
3856,16594,36467
5198,21484,18890
5366,19325,4530
2439,333,15570
5036,24626,18990
2402,1757,4690
3471,10929,4180
7675,34612,5520
0,14278,4690
4686,18714,16770
7944,35125,15960
3462,8050,4670
730,4962,16820
4335,32374,4610
2162,1058,4670
2849,5725,16820
3472,7017,4690
3994,25488,4180
2104,4930,16820
5720,37161,3830
4035,17534,15580
3598,4902,4690
749,6485,16620
3688,16297,14050
3279,20948,4670
4783,18167,119940
5526,22257,15580
4658,29987,42067
7351,35661,36475
3159,9445,4670
656,5016,16600
2801,4771,42067
4787,28694,NULL
7497,28701,NULL
1538,884,4690
5502,27661,42218
5282,20735,16920
3911,15355,4180
3807,16037,15651
4895,21482,18890
4637,21274,4670
4714,21719,3770
5119,21878,19030
5995,35217,4690
4777,16448,3770
3192,6522,15580
3159,10504,4670
4253,15212,4760
5162,23510,4670
1081,1066,4670
4186,15807,18890
7928,33042,35407
6055,29785,42067
6156,35972,1260
8341,37536,4820
2153,14515,100250
4393,7930,4680
3468,14283,4690
1145,5162,35407
3947,14328,15600
2950,6339,42067
1925,4989,16820
4532,16104,45874
5373,24102,100190
3956,18266,14250
2429,22276,16610
4711,19500,124960
4307,30766,16140
4715,25115,125480
2779,7278,14280
7257,25884,42067
5498,28956,14050
2720,5621,18890
8481,37945,16890
8554,37950,16890
3575,2278,3580
5446,11564,4690
4554,13935,4630
5713,23018,4690
5613,26919,16610
6086,35407,100250
5719,26795,38789
5165,30641,16610
0,10823,15580
2388,17349,14280
7688,33019,19030
2335,2014,35407
2153,7545,14250
3005,7556,14250
5436,35565,125950
5938,28207,7720
3942,19918,15651
4749,19354,4180
4029,20066,14250
3532,9952,15580
4307,35280,125480
0,32071,NULL
8160,33920,16300
7273,29762,15580
5001,17903,4690
3357,20996,4670
3091,8424,2720
5244,26792,38804
2348,1142,4670
3938,14566,14250
4892,30086,125480
5160,22231,15580
7257,26222,42067
4872,18798,18890
2907,8440,2720
6131,28952,14050
4998,21197,4670
2237,2620,15580
3965,11719,4180
6037,35571,125480
5409,23473,35407
7763,33304,14040
1963,4963,16820
4317,25159,124960
4040,22827,5570
3274,10863,15560
4999,18081,4820
2853,5767,18890
4634,17260,7720
4313,25515,42067
4367,33761,42067
4149,20348,14250
6022,27856,14120
4310,19105,124960
7667,38246,4670
5714,20901,4670
3420,10873,15580
4557,16214,7060
3892,10655,16890
2728,5765,18890
