stationID,projectID,stationName,latitude,longitude,station_status
9806,370,370_testStation,42.61550000,-80.45860000,1
9822,1,Brebeuf Island,44.87620000,-79.88470000,1
9823,1,Case Western Reserve,41.50150000,-81.60740000,1
9824,1,Moosonee,51.28500000,-80.62380000,2
9825,1,Nelles,42.94390000,-79.96020000,1
9826,123,34_IfV,53.56450000,8.10820000,1
9827,31,Miller,29.75970000,-92.83910000,1
9828,35,PARC Mt. Laurel,40.18090000,-79.15040000,2
9829,1,CompuData,42.93040000,-81.18500000,1
9831,90,St. George Island,29.67210000,-84.84140000,1
9832,184,Zoo Miami,25.60970000,-80.39770000,2
9833,113,Westkapelle vuurtoren Hoog,51.52920000,3.44710000,2
9834,113,Breskens vuurtoren,51.40690000,3.52140000,1
9835,10,LabTest,NULL,NULL,1
9836,190,Pisgah Astronomical Research Institute,35.19700000,-82.87320000,2
9837,165,Kalamazoo Nature Center,42.36400000,-85.58950000,2
9838,113,Reddingsbrigade Maasvlakte,51.92690000,3.98230000,2
9839,145,Franks Tower,24.66860000,-75.74550000,1
9840,145,Knowles Tower,24.38240000,-75.51320000,1
9841,145,Ft. Clinch,30.69870000,-81.43210000,2
9842,145,Little Talbot,30.43130000,-81.41080000,1
9843,113,WUR Zandmotor Argusmast,52.05080000,4.18450000,2
9844,123,61_FINO1,54.01490000,6.58760000,2
9845,123,63_FINO3,55.19500000,7.15830000,2
9846,168,Macdonald Campus of McGill University,45.40790000,-73.93900000,1
9847,78,Nappan,45.79640000,-64.17870000,1
9848,113,Brandweer Maasvlakte,51.98570000,4.02890000,2
9849,197,Tantramar,45.89660000,-64.34390000,1
9850,1,Torrance B,44.94040000,-79.50300000,2
9851,14,FRED,40.94770000,-73.07010000,2
9852,120,Trinity River NWR Die House,30.41230000,-94.88420000,2
9853,201,Clifton,49.73400000,-97.13170000,1
9854,201,Oak Hammock Marsh,50.17370000,-97.13280000,1
9855,201,Fortwhyte Alive,49.81920000,-97.22520000,1
9856,47,Grassy Sound,39.02770000,-74.80950000,1
9857,191,Dinner Island,49.12370000,-125.84140000,2
9858,191,Kwisitis Visitor Centre - PRNPR,49.01330000,-125.67470000,2
9859,191,Wickaninnish Inn,49.12300000,-125.90190000,2
9860,40,Akimiski,53.10490000,-80.95810000,2
9861,113,RWS gebouw Haringvlietdam,51.82780000,4.04440000,2
9862,195,LaTuque-MFFP,47.43520000,-72.77830000,1
9863,195,LaTuque-Presbytere,47.44140000,-72.78460000,1
9864,195,LaTuque-Golf,47.43530000,-72.79130000,1
9865,195,LacEdouard-Grange,47.64950000,-72.29090000,1
9866,211,Mølen_Norway,58.97270000,9.83640000,2
9867,211,Ringdalskogen_Norway,59.11320000,10.11070000,2
9868,134,State Game Lands Curtin Road,40.95660000,-77.72210000,2
9869,134,Foster Joseph Sayers Dam,41.05000000,-77.61690000,2
