"tagDeployId","ts1","ts2","station1","station2","is_simul"
5965,1366069291,1366069879,11038,11104,FALSE
5968,1366069143,1366070054,11038,11104,FALSE
5968,1366070636,1366071493,11104,11280,FALSE
5965,1366070568,1366071530,11104,11280,FALSE
5965,1366071621,1366105795,11280,11144,FALSE
5969,1366244391,1366244736,11038,11104,FALSE
5961,1366329495,1366329895,11038,11104,FALSE
5961,1366330672,1366334289,11104,10329,FALSE
5975,1366343206,1366344244,11038,11104,FALSE
5979,1366587772,1366588140,11038,11104,FALSE
5975,1366591896,1366592332,11104,11038,FALSE
5974,1366589994,1366598965,11038,10330,FALSE
5960,1366589031,1366626645,11038,11146,FALSE
5959,1366589849,1366639063,11038,11280,FALSE
5959,1366639277,1366639624,11280,11104,FALSE
5963,1366590298,1366650848,11038,10330,FALSE
5971,1366589521,1366674547,11038,10330,FALSE
5971,1366675127,1366676780,10330,11280,FALSE
5971,1366677337,1366678072,11280,11104,FALSE
5980,1366658095,1366678490,11038,11104,FALSE
5959,1366678632,1366679775,11104,11038,FALSE
5971,1366678479,1366684160,11104,11038,FALSE
5980,1366723767,1366779252,11104,11038,FALSE
5979,1366681794,1367017904,11104,11038,FALSE
5976,1367194994,1367213399,11038,10329,FALSE
5975,1366593111,1367280832,11038,11104,FALSE
5978,1367279876,1367281407,11038,11104,FALSE
5980,1367281223,1367282143,11038,11104,FALSE
5975,1367281174,1367285043,11104,11280,FALSE
5963,1367194010,1367288975,10330,11038,FALSE
5959,1367293845,1367295988,11038,11104,FALSE
5959,1367296077,1367296318,11104,11038,FALSE
5976,1367213505,1367379818,10329,11558,FALSE
5971,1367310342,1367453349,11038,11104,FALSE
5959,1367453763,1367454399,11038,11104,FALSE
5963,1367453740,1367454555,11038,11104,FALSE
5971,1367453825,1367455116,11104,11280,FALSE
5975,1367285704,1367470247,11280,11144,FALSE
5959,1367454707,1367513195,11104,11178,FALSE
5972,1366250748,1367556234,11038,10315,FALSE
5972,1367556443,1367556770,10315,10321,FALSE
5972,1367557199,1367558437,10321,11558,FALSE
5959,1367513415,1367558739,11178,10330,FALSE
5972,1367558658,1367558971,11558,10329,FALSE
5963,1367559443,1367560199,11104,11038,FALSE
5972,1367559458,1367560417,10329,10330,FALSE
5972,1367560928,1367563605,10330,11280,FALSE
5971,1367455487,1367563827,11280,10330,FALSE
5971,1367565555,1367567037,10330,11280,FALSE
5979,1367194786,1367567351,11038,11104,FALSE
5971,1367567529,1367567652,11280,11104,FALSE
5959,1367559355,1367567820,10330,11280,FALSE
5979,1367567423,1367569345,11104,11038,FALSE
5972,1367573130,1367573428,11280,11104,FALSE
5959,1367652240,1367652923,11280,11104,FALSE
5972,1367713835,1367714758,11104,11280,FALSE
5959,1367722576,1367724436,11104,11038,FALSE
5973,1367885328,1367885634,11038,11104,FALSE
5963,1367885766,1367886252,11038,11104,FALSE
5973,1367885997,1367886714,11104,11280,FALSE
5971,1367888279,1367888347,11104,10330,FALSE
5973,1367886913,1367906196,11280,11146,FALSE
5971,1367888824,1367906362,10330,11144,FALSE
5972,1367720812,1367916857,11280,11144,FALSE
5963,1367886487,1367917047,11104,11144,FALSE
5959,1367724557,1368490459,11038,11104,FALSE
5959,1368490734,1368491442,11104,11280,FALSE
5965,1369239171,1369944650,11144,10324,FALSE
5890,1369847821,1370194601,11144,10324,FALSE
5908,1370532001,1370532162,11144,10324,FALSE
5952,1370689871,1370691928,10324,12267,FALSE
5951,1370529901,1370704197,11144,10324,FALSE
5889,1370715463,1370775186,10324,12267,FALSE
5952,1370691980,1370803266,12267,10317,FALSE
5952,1370804916,1370818040,10317,10324,FALSE
5845,1370819041,1370844292,10323,10324,FALSE
5948,1370791303,1370874266,10324,12267,FALSE
5877,1370963401,1370971652,10323,10324,FALSE
5948,1370874569,1370981024,12267,10324,FALSE
5873,1370955001,1371008319,10323,10324,FALSE
5878,1370964001,1371024390,10323,10324,FALSE
5952,1370953444,1371058466,10324,11558,FALSE
5870,1370897281,1371060585,10322,10324,FALSE
5952,1371066610,1371068888,11558,10317,FALSE
5952,1371072388,1371077492,10317,10329,FALSE
5876,1370961481,1371079528,10323,10324,FALSE
5872,1370954281,1371114026,10323,10324,FALSE
5881,1370977081,1371141628,10323,12267,FALSE
5870,1371060667,1371141904,10324,10322,FALSE
5889,1371140939,1371146574,12267,10324,FALSE
5907,1370878565,1371146643,12267,10324,FALSE
5882,1370977861,1371146889,10323,10324,FALSE
5952,1371111602,1371147354,10329,11178,FALSE
5881,1371150024,1371163333,12267,10324,FALSE
5859,1370885041,1371241477,10322,11146,FALSE
5855,1370876401,1371243221,10322,11146,FALSE
5853,1370874061,1371244803,10322,11146,FALSE
5860,1370886001,1371245249,10322,11146,FALSE
5849,1370869201,1371245708,10322,11146,FALSE
5868,1370895000,1371247161,10322,11146,FALSE
5863,1370890561,1371247394,10322,11146,FALSE
5865,1370892361,1371248218,10322,11146,FALSE
5919,1371247139,1371286039,10317,10329,FALSE
5952,1371147798,1371295830,11178,10330,FALSE
5863,1371247516,1371301424,11146,10322,FALSE
5952,1371296356,1371313693,10330,12267,FALSE
5952,1371314093,1371314662,12267,10324,FALSE
5943,1371308401,1371378052,10316,10317,FALSE
5936,1371308401,1371385516,10316,10329,FALSE
5926,1371380401,1371406459,10316,10317,FALSE
5849,1371245748,1371408675,11146,10322,FALSE
5915,1371380401,1371413185,10316,11558,FALSE
5936,1371385568,1371417832,10329,10317,FALSE
5936,1371417913,1371485573,10317,11558,FALSE
5875,1370958241,1371506086,10323,10324,FALSE
5919,1371287251,1371561383,10329,11558,FALSE
5911,1371564373,1371567816,10324,12267,FALSE
5915,1371413251,1371571328,11558,10329,FALSE
5914,1371308401,1371582530,10316,10329,FALSE
5942,1371308401,1371667199,10316,10329,FALSE
5919,1371561442,1371720303,11558,10329,FALSE
5932,1371308401,1371720782,10316,10329,FALSE
5931,1371308401,1371758397,10316,10329,FALSE
5919,1371728914,1371762021,10329,11558,FALSE
5838,1371663110,1371763841,10324,12267,FALSE
5838,1371763986,1371764734,12267,10324,FALSE
5911,1371567856,1371765264,12267,10324,FALSE
5942,1371667283,1371766608,10329,10317,FALSE
5911,1371765659,1371770160,10324,12267,FALSE
5922,1371380401,1371772123,10316,10317,FALSE
5890,1371763002,1371835687,10324,12267,FALSE
5889,1371397055,1371848699,10324,10119,FALSE
5926,1371406746,1371859238,10317,10316,FALSE
5936,1371835274,1371859404,11558,10316,FALSE
5915,1371839665,1371861229,10329,10316,FALSE
5932,1371720893,1371861285,10329,10316,FALSE
5914,1371586263,1371861507,10329,10316,FALSE
5929,1371783774,1371870484,11280,11104,FALSE
5929,1371870724,1371871834,11104,11280,FALSE
5929,1371872164,1371873934,11280,10330,FALSE
5929,1371874754,1371875882,10330,11178,FALSE
5922,1371772182,1371879519,10317,10316,FALSE
5914,1371890685,1371892870,10316,11558,FALSE
5914,1371892870,1371977518,11558,10316,FALSE
5925,1371382708,1371892891,10317,10316,FALSE
5937,1371585167,1371900370,10317,10316,FALSE
5890,1371835795,1371903585,12267,10324,FALSE
5929,1371875942,1371906701,11178,10316,FALSE
5919,1371906856,1371924887,11558,10317,FALSE
5874,1370955901,1371914433,10323,10324,FALSE
5931,1371758447,1371921401,10329,11558,FALSE
5919,1371924887,1371924994,10317,11558,FALSE
5919,1371924994,1371943647,11558,10317,FALSE
5911,1371887824,1371926982,12267,10324,FALSE
5915,1371927454,1371927483,10316,11558,FALSE
5915,1371927483,1372156994,11558,10316,FALSE
5919,1371943647,1372006325,10317,11558,FALSE
5930,1371304829,1371946926,10317,10316,FALSE
5914,1371977518,1372001593,10316,10317,FALSE
5932,1371982318,1371982379,10316,10317,FALSE
5932,1371982379,1371990946,10317,10316,FALSE
5940,1371562563,1371983496,10317,11558,FALSE
5926,1371991054,1372010443,10316,10317,FALSE
5943,1371378116,1371994891,10317,10316,FALSE
5914,1372001593,1372001698,10317,11558,FALSE
5914,1372001698,1372009457,11558,10317,FALSE
5914,1372009457,1372271996,10317,10316,FALSE
5926,1372010443,1372095698,10317,10316,FALSE
5936,1372023367,1372077158,10316,10317,FALSE
5855,1371243271,1372031969,11146,10322,FALSE
5936,1372077158,1372685259,10317,10316,FALSE
5911,1371927006,1372099014,10324,12267,FALSE
5870,1372029707,1372101024,10322,10324,FALSE
5930,1372089194,1372111555,10316,11496,FALSE
5912,1371259451,1372142467,10324,10119,FALSE
5928,1372018987,1372168663,10316,10317,FALSE
5911,1372207477,1372268559,12267,10324,FALSE
5914,1372271996,1372276099,10316,11558,FALSE
5942,1371766671,1372272026,10317,10329,FALSE
5914,1372276099,1372712767,11558,10316,FALSE
5930,1372147570,1372280331,11496,10316,FALSE
5843,1370812501,1372281348,10323,10324,FALSE
5889,1372178276,1372342811,10119,12267,FALSE
5928,1372168713,1372348372,10317,10316,FALSE
5911,1372346204,1372349244,10324,12267,FALSE
5865,1371248319,1372391956,11146,10322,FALSE
5844,1370816401,1372447166,10323,10324,FALSE
5879,1370965200,1372459445,10323,10324,FALSE
5883,1371128881,1372460274,10323,10324,FALSE
5942,1372272109,1372496265,10329,10316,FALSE
5889,1372342855,1372610832,12267,10324,FALSE
5911,1372586119,1372616834,12267,10324,FALSE
5931,1372004452,1372682761,11558,10316,FALSE
5936,1372685259,1372685300,10316,10317,FALSE
5936,1372685300,1372783400,10317,10316,FALSE
5931,1372682801,1372685809,10316,11496,FALSE
5853,1371244892,1372696968,11146,10322,FALSE
5931,1372686369,1372711365,11496,11558,FALSE
5938,1372767314,1372774358,10316,11496,FALSE
5864,1372722557,1372786530,10322,10324,FALSE
5911,1372713686,1372877986,10324,12267,FALSE
5910,1372858092,1372888830,10324,12267,FALSE
5817,1372903270,1372907244,10316,11496,FALSE
5859,1371245266,1372927757,11146,10324,FALSE
5870,1372785837,1372960198,10324,12267,FALSE
5870,1372960260,1372961034,12267,10324,FALSE
5850,1372160209,1372979120,10322,10119,FALSE
5853,1372762439,1372994722,10322,10324,FALSE
5931,1372711895,1373057148,11558,10316,FALSE
5881,1373057250,1373059464,10324,10323,FALSE
5829,1373078821,1373079054,10316,11496,FALSE
5935,1372341966,1373189228,10329,11558,FALSE
5881,1373059591,1373207517,10323,10324,FALSE
5935,1373189269,1373245668,11558,10316,FALSE
5870,1373240296,1373260065,10324,10322,FALSE
5888,1372964292,1373298595,10324,10317,FALSE
5888,1373364713,1373371722,10317,11496,FALSE
5881,1373208010,1373372121,10324,10323,FALSE
5870,1373326508,1373403534,10322,10324,FALSE
5829,1373079125,1373420744,11496,10316,FALSE
5908,1373442506,1373444986,10324,12267,FALSE
5870,1373426311,1373462687,10324,12267,FALSE
5870,1373462749,1373534279,12267,10324,FALSE
5908,1373445142,1373545156,12267,10324,FALSE
5931,1373397142,1373566512,10316,11496,FALSE
5817,1372907333,1373592817,11496,10316,FALSE
5952,1373532718,1373617485,10324,10316,FALSE
5921,1373528924,1373716331,10316,11496,FALSE
5921,1373716408,1373725797,11496,10316,FALSE
5931,1373567252,1373727108,11496,10316,FALSE
5910,1372888894,1373727409,12267,10324,FALSE
5888,1373372716,1373742557,11496,11178,FALSE
5822,1373627684,1373773712,10316,11496,FALSE
5952,1373645470,1373788160,10316,10324,FALSE
5888,1373743181,1373799083,11178,11104,FALSE
5942,1373957366,1373970313,10316,10317,FALSE
5952,1373804339,1374008976,10324,11496,FALSE
5952,1374009146,1374026788,11496,10324,FALSE
5886,1373818216,1374065982,10324,11178,FALSE
5886,1374066273,1374068814,11178,10330,FALSE
5942,1373970718,1374088641,10317,10316,FALSE
5821,1373523259,1374130178,10316,11496,FALSE
5886,1374069403,1374171340,10330,11280,FALSE
5886,1374173033,1374173172,11280,11104,FALSE
5822,1373773815,1374250907,11496,10316,FALSE
5888,1373800070,1374359383,11104,11399,FALSE
5948,1374139739,1374409855,10324,11496,FALSE
5948,1374410632,1374410941,11496,10316,FALSE
5886,1374422002,1374422058,11104,11280,FALSE
5952,1374070633,1374430914,10324,10316,FALSE
5869,1373432991,1374452861,10322,10324,FALSE
5952,1374431306,1374455458,10316,10324,FALSE
5918,1374479882,1374559960,10316,11496,FALSE
5817,1374303093,1374562781,10316,11496,FALSE
5918,1374560469,1374604743,11496,10316,FALSE
5952,1374571170,1374607891,10324,11558,FALSE
5921,1374187672,1374616766,10316,11496,FALSE
5952,1374607995,1374624507,11558,10317,FALSE
5921,1374667456,1374670867,11496,10316,FALSE
5952,1374671341,1374677198,10317,11496,FALSE
5830,1373444428,1374714948,10316,11558,FALSE
5832,1374128367,1374719578,11496,11558,FALSE
5944,1374496929,1374756858,10316,11496,FALSE
5832,1374723968,1374803947,11558,11496,FALSE
5824,1374502761,1374807544,10316,11496,FALSE
5817,1374563240,1374831966,11496,10316,FALSE
5824,1374807820,1374875355,11496,10316,FALSE
5816,1374716028,1374888115,10316,11496,FALSE
5816,1374888426,1374892436,11496,10316,FALSE
5821,1374130303,1374902443,11496,10316,FALSE
5817,1374873046,1374992987,10316,11496,FALSE
5944,1374757278,1375062596,11496,10316,FALSE
5888,1374362059,1375092040,11399,10119,FALSE
5921,1375036168,1375142181,10316,11496,FALSE
5825,1374560435,1375146125,10316,11496,FALSE
5817,1374993379,1375151690,11496,10316,FALSE
5927,1375227102,1375233427,10316,10329,FALSE
5825,1375146369,1375235289,11496,10316,FALSE
5817,1375212252,1375253569,10316,11496,FALSE
5927,1375268681,1375687912,10329,10316,FALSE
5821,1375339251,1375340044,10316,11496,FALSE
5948,1374411122,1375364942,10316,11208,FALSE
5921,1375333604,1375394370,11496,10316,FALSE
5916,1374929559,1375408105,10316,11496,FALSE
5916,1375408374,1375439807,11496,10316,FALSE
786,1375444801,1375484581,10362,10360,FALSE
5830,1374715066,1375503765,11558,10316,FALSE
5921,1375500459,1375518820,10316,11496,FALSE
5916,1375439884,1375518844,10316,11496,FALSE
789,1375444801,1375529446,10362,10360,FALSE
788,1375444801,1375529595,10362,10360,FALSE
5815,1375578791,1375594023,10316,11496,FALSE
5822,1375600237,1375601699,10316,11496,FALSE
784,1375599051,1375623765,11536,11538,FALSE
5912,1372142587,1375644457,10119,10324,FALSE
5821,1375340580,1375674877,11496,10316,FALSE
787,1375444801,1375678700,10362,10360,FALSE
5927,1375687912,1375698249,10316,11178,FALSE
5927,1375698368,1375704203,11178,10330,FALSE
790,1375444801,1375749886,10362,10360,FALSE
791,1375444801,1375751544,10362,10360,FALSE
5944,1375062828,1375751718,10316,11496,FALSE
793,1375790401,1375805755,10362,10360,FALSE
5927,1375704381,1375808850,10330,10316,FALSE
794,1375790401,1375835753,10362,10360,FALSE
797,1375790401,1375835969,10362,10360,FALSE
796,1375790401,1375837541,10362,10360,FALSE
798,1375790401,1375838160,10362,10360,FALSE
5817,1375491367,1375845358,11496,10316,FALSE
