motusRecvID,recvProjectID,receiverID,recvDeployID,port,antennaType,bearing,magneticBearing,trueBearing,tilt,polBearing,polTilt,heightMeters,filter,cableLengthMeters,cableType,mountDistanceMeters,mountBearing,details,elevationAngle,polarization1,polarization2,deploymentStatus,dongle_type,frequency
383,1,SG-5113BBBK0173,681,1,yagi-9-laird,65,65,51.313793,,,,6,,6,RG58,,,,,,,terminated,Funcube Pro Plus,166.38
383,1,SG-5113BBBK0173,681,2,yagi-9-laird,250,250,236.3138,,,,5.8,,6,RG58,,,,,,,terminated,Funcube Pro Plus,166.38
383,1,SG-5113BBBK0173,681,3,yagi-9-laird,160,160,146.3138,,,,5.6,,6,RG58,,,,,,,terminated,Funcube Pro Plus,166.38
383,1,SG-5113BBBK0173,3560,1,yagi-9-laird,65,65,51.41801,,,,,,,,,,,,,,terminated,Funcube Pro Plus,166.38
383,1,SG-5113BBBK0173,3560,2,yagi-9-laird,250,250,236.41801,,,,5.8,,6,RG58,,,,,,,terminated,Funcube Pro Plus,166.38
383,1,SG-5113BBBK0173,3560,3,yagi-9-laird,160,160,146.41801,,,,5.6,,6,RG58,,,,,,,terminated,Funcube Pro Plus,166.38
384,1,SG-5113BBBK0324,657,1,yagi-9-laird,0,0,349.91003,,,,6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,657,2,yagi-9-laird,240,240,229.91003,,,,5.8,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,657,3,yagi-9-laird,120,120,109.910034,,,,5.6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,755,1,yagi-9-laird,345,345,334.90646,,,,6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,755,2,yagi-9-laird,205,205,194.90645,,,,5.8,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,755,3,yagi-9-laird,100,100,89.906456,,,,5.6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2029,1,yagi-9-laird,345,345,334.90308,,,,4.5,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2029,2,yagi-9-laird,205,205,194.90308,,,,4.3,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2029,3,yagi-9-laird,100,100,89.903076,,,,4.1,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2107,1,yagi-9-laird,345,345,,,,,6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2107,2,yagi-9-laird,205,205,,,,,5.8,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,2107,3,yagi-9-laird,100,100,,,,,5.6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,3732,2,yagi-9-laird,205,205,,,,,5.8,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
384,1,SG-5113BBBK0324,3732,3,yagi-9-laird,100,100,,,,,5.6,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,647,1,yagi-9-laird,0,0,,,,,6,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,647,2,yagi-9-laird,240,240,,,,,5.8,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,647,3,yagi-9-laird,120,120,,,,,5.6,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,764,1,yagi-9-laird,25,25,,,,,6,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,764,2,yagi-9-laird,230,230,,,,,5.8,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,764,3,yagi-9-laird,120,120,,,,,5.6,,7.62,,,,,,,,terminated,Funcube; Unconfirmed,166.38
385,1,SG-5113BBBK0333,2001,1,yagi-9-laird,15,15,,,,,,,,,,,,,,,terminated,Funcube; Unconfirmed,166.38
