"id","dtCreated","name","shortName","shortDescription","fee_id"
0,2014-01-01,"Motus Test Project","NO_PROJ","This project should be used to verify functional updates within the live database environment",9
1,2014-01-01,"Motus Ontario Array","MotusON","Array of ~100 towers maintained by Bird Studies Canada in support of all projects.",9
2,2014-01-01,"Motus Atlantic Array","MotusATL","Array of 50+ towers maintained by Bird Studies Canada in support of all projects.",1
3,2014-01-01,"EC-Quebec-St.Laurent","Quebec","Shorebird projects based along the St.Lawrence river.
PI: Yves Aubry (Environment Canada)",3
4,2015-01-01,"Region 4 USFWS  ","USFWS_R4","Motus stations operated by Region 4 USFWS National Wildlife Refuge System.",2
5,2014-01-01,"Available","Avail","This project is available.",NA
6,2016-01-01,"Panama Gateway ","Panama","Four towers across the canal zone of Panama maintained for all to benefit by Panama Audubon and Bird Studies Canada.",NA
7,2013-01-01,"Welch","Welch","Maine Coastal Islands National Wildlife Refuge has been tagging common and Arctic terns on a number of breeding colonies in Maine since 2012.",2
8,2013-01-01,"Holberton 2013-14","HolbSESA","In 2013-14, we tracked movements of ~ 75 Semipalmated Sandpipers in Downeast Maine to better understand stopover habitat use.",NA
9,2013-01-01,"Parker River/Great Bay Refuge","Pau","Bat, shorebird, and saltmarsh sparrows nanotag projects in northeast MA and southern NH.  Originally 3 towers at Parker River NWR, 2 at Great Bay NWR.",2
10,2013-01-01,"Taylor - receivers","Taylr","Receiver array as part of projects related to Dr. Phil Taylor",NA
11,2013-01-01,"Peterson","Peter","Migratory Bat pilot project in Maine.",NA
12,2013-01-01,"Smetzer","Smetzer","Red-eyed vireos and blackpoll warblers stopover and migration at Petit Manan Wildlife Refuge in Steuben Maine. ",NA
13,2013-01-01,"Semipalmated Sandpipers in the Bay of Fundy","SESA BOF","Semipalmated Shorebird stopover and migration ecology in the Bay of Fundy.",NA
14,2013-01-01,"Loring","Loring","Concurrent projects on tern and shorebird movements throughout the Atlantic Coast",2
15,2014-01-01,"Aubry","Aubry","Stopover and Migratory behaviour of migratory birds along the St.Lawrence River - Swainson's Thrush, Pine Siskin, as well as some shorebirds.",NA
16,2014-01-01,"Boyles","Boyles","Bat migration and ecology in the mid-west.",NA
17,2014-01-01,"Chapman","Chapman","Shoals_2014                    ",NA
18,2013-01-01,"Dossman_Ohio","Dossman","Migration, stopover ecology, and departure decisions of American Redstart, Magnolia and Myrtle warblers in north east Ohio.",NA
19,2015-01-01,"Dossman_Jamaica","Jamaica","Movement and space-use during the non-breeding season and migration.",1
20,2013-01-01,"Gugli","Gugli","A slough of projects dealing with migration and stopover ecology of migratory songbirds and bats at Long Point and throughout Canada.",1
21,2013-01-01,"Taylor - Gull","TaylorGull","Gull work on Sable Island 2013",NA
22,2013-01-01,"Taylor - Ipswich Sparrow","TaylorIPSP","Ipswich Sparrow survival and migratory behaviour",1
23,2014-01-01,"Motus","MotusAdmin","General project administration - mostly test tags.",NA
24,2013-01-01,"Norris","Norris","White-throated Sparrow orientation and migration studies.",NA
25,2014-01-01,"obrien","R5_SALS","Shorebird work on the Gulf of Maine.  Saltmarsh Sparrow migration project.  ",2
26,2014-01-01,"Salda - Atlantic Bank Swallows","Salda","Studying foraging and roosting habitat selection in Bank Swallows.",NA
27,2014-01-01,"Smith","PSmith","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots.",3
28,2013-01-01,"Taylor - Petrels","TaylorPetrels","Foraging behaviour or Leach's Storm Petrels in Nova Scotia",NA
29,2016-01-01,"R5_SALS","R5_SALS2","Currently only winter/spring deployments on Saltmarsh Sparrow (SALS) in South Carolina",2
30,2014-01-01,"Range Tests","test","Tags used for range tests, or not attached to organisms, but whose data are still ""real"".",NA
31,2016-01-01,"Louisiana SPDOR VHF Network","Louisiana SPDOR","Louisiana Department of Wildlife and Fisheries' Statewide Detection for Organismal Research (SPDOR) VHF Network
",1
32,2014-01-01,"Dowling","Dowling","Migratory season tracking of eastern red, hoary, and silver-haired bats to inform migration ecology and offshore wind development",NA
33,2016-01-01,"Ernst","Ernst","Fall deployments on Saltmarsh Sparrows in Rhode Island",2
34,2014-01-01,"Gratto","Gratto","Piping Plover post-breeding dispersal in Nova Scotia.",NA
