name,styleUrl,longitude,latitude,altitude,description,LineString/tessellate,LineString/coordinates
Konza,#icon-1739-0288D1-nodesc,-96.749701,39.16418,0,,,
Point 11,#icon-1739-0288D1-nodesc,-102.18115,40.298553,0,,,
Point 13,#icon-1739-0288D1-nodesc,-99.692728,39.996157,0,,,
Point 15,#icon-1739-0288D1-nodesc,-97.605326,39.574037,0,,,
Point 16,#icon-1739-0288D1-nodesc,-95.825541,39.810743,0,,,
Point 31,#icon-1739-0288D1-nodesc,-104.157447,36.166875,0,,,
Point 32,#icon-1739-0288D1-nodesc,-103.406566,37.236482,0,,,
Point 33,#icon-1739-0288D1-nodesc,-101.496306,36.89772,0,,,
Point 34,#icon-1739-0288D1-nodesc,-100.32727,37.071488,0,,,
Point 35,#icon-1739-0288D1-nodesc,-99.214117,36.921464,0,,,
Point 36,#icon-1739-0288D1-nodesc,-98.114306,36.676033,0,,,
Point 37,#icon-1739-0288D1-nodesc,-96.673415,36.874491,0,,,
Point 38,#icon-1739-0288D1-nodesc,-103.612344,38.712531,0,,,
Point 39,#icon-1739-0288D1-nodesc,-106.142821,37.48573,0,,,
Point 46,#icon-1739-0288D1-nodesc,-98.558027,39.848016,0,,,
Rita Blanca National Grasslands,#icon-1739-0288D1-nodesc,-102.462391,37.114692,0,,,
Smoky Valley Ranch,#icon-1739-0288D1,-101.019231,38.889463,0,Robert Penner was contacted about getting a station placed here after our Cheyenne Bottoms install.,,
Pittsburg,#icon-1739-0288D1,-94.691313,37.390702,0,"Andrew George, prof at Pitt State Univ",,
STER,#icon-1739-0288D1-nodesc,-103.029011,40.461934,0,,,
Pawnee,#icon-1739-0288D1-nodesc,-104.343232,40.695315,0,,,
CPER,#icon-1739-0288D1-nodesc,-104.745184,40.815522,0,,,
Arapaho NWR,#icon-1739-0288D1-nodesc,-106.276819,40.61784,0,,,
El Uno Rancho,#icon-1739-0288D1-nodesc,-108.313929,30.962497,0,,,
Rancho el quemado,#icon-1739-0288D1-nodesc,-108.161947,30.379885,0,,,
UACH Research Ranch,#icon-1739-0288D1-nodesc,-107.350332,29.429632,0,,,
Rancho El Palomino,#icon-1739-0288D1-nodesc,-106.306187,29.546316,0,,,
Rancho Valle Colombia,#icon-1739-0288D1-nodesc,-102.373859,28.299343,0,,,
Mapimi,#icon-1739-0288D1-nodesc,-103.933256,26.510345,0,,,
Cuchillas de la Zarca,#icon-1739-0288D1-nodesc,-105.152739,26.333248,0,,,
El Tokio,#icon-1739-0288D1-nodesc,-101.039039,25.075491,0,,,
Todos Santos,#icon-1739-0288D1-nodesc,-116.79,31.8,0,,,
Todos Santos Bay,#icon-1739-0288D1-nodesc,-116.61,31.79,0,,,
San Quintin Bay,#icon-1739-0288D1-nodesc,-116.016,30.42,0,,,
San Jeronimo,#icon-1739-0288D1-nodesc,-115.789896,29.7895512,0,,,
Golfo de Santa Clara,#icon-1739-0288D1-nodesc,-114.49,31.67,0,,,
Guerrero Negro,#icon-1739-0288D1-nodesc,-114.05,27.92,0,,,
San Roque,#icon-1739-0288D1-nodesc,-114.373777,27.146568,0,,,
Lobos Bay,#icon-1739-0288D1-nodesc,-110.54,27.35,0,,,
Yavaros Bay,#icon-1739-0288D1-nodesc,-109.52,26.7,0,,,
Ensenada Pabellones,#icon-1739-0288D1-nodesc,-107.55,24.42,0,,,
Cueta Beach,#icon-1739-0288D1-nodesc,-106.97,23.92,0,,,
Urias Estuary,#icon-1739-0288D1-nodesc,-106.3,23.15,0,,,
Point 43,#icon-1739-0288D1-nodesc,-96.1143846,41.8941941,0,,,
Point 44,#icon-1739-0288D1-nodesc,-95.1805467,41.9432432,0,,,
Point 45,#icon-1739-0288D1-nodesc,-94.521367,41.8451073,0,,,
Point 46,#icon-1739-0288D1-nodesc,-93.8072557,41.9268977,0,,,
Point 47,#icon-1739-0288D1-nodesc,-93.0601854,41.8123618,0,,,
Point 48,#icon-1739-0288D1-nodesc,-92.345459,41.837794,0,,,
Point 49,#icon-1739-0288D1-nodesc,-91.708867,41.8287367,0,,,
Point 50,#icon-1739-0288D1-nodesc,-90.8958788,41.8614738,0,,,
Point 51,#icon-1739-0288D1-nodesc,-90.1048631,41.8941941,0,,,
Point 52,#icon-1739-0288D1-nodesc,-90.5223436,41.5744563,0,,,
Point 53,#icon-1739-0288D1-nodesc,-90.8958788,41.34392,0,,,
Point 54,#icon-1739-0288D1-nodesc,-90.9617967,41.1125645,0,,,
Point 55,#icon-1739-0288D1-nodesc,-91.0167284,40.7723181,0,,,
Point 56,#icon-1739-0288D1-nodesc,-91.2474413,40.488834,0,,,
Point 57,#icon-1739-0288D1-nodesc,-91.4232225,40.0781686,0,,,
Point 58,#icon-1739-0288D1-nodesc,-90.5772752,42.399216,0,,,
Point 59,#icon-1739-0288D1-nodesc,-92.3350877,36.911724,0,,,
Point 60,#icon-1739-0288D1-nodesc,-89.5116014,36.3474644,0,,,
Point 61,#icon-1739-0288D1-nodesc,-89.771067,35.747565,0,,,
Point 62,#icon-1739-0288D1-nodesc,-89.3248338,37.1747958,0,,,
Point 63,#icon-1739-0288D1-nodesc,-89.8192186,37.7763931,0,,,
Point 64,#icon-1739-0288D1-nodesc,-90.386301,38.118292,0,,,
Point 65,#icon-1739-0288D1-nodesc,-90.1927538,38.5108129,0,,,
Point 66,#icon-1739-0288D1-nodesc,-90.1817674,38.896624,0,,,
Point 67,#icon-1739-0288D1-nodesc,-90.649973,39.165147,0,,,
Point 68,#icon-1739-0288D1-nodesc,-90.9617967,39.3653394,0,,,
Point 69,#icon-1739-0288D1-nodesc,-88.870922,36.880658,0,,,
Point 70,#icon-1739-0288D1-nodesc,-90.5553026,39.5942932,0,,,
Point 71,#icon-1739-0288D1-nodesc,-90.0135,39.572822,0,,,
Point 72,#icon-1739-0288D1-nodesc,-89.3138475,39.5942932,0,,,
Point 73,#icon-1739-0288D1-nodesc,-89.046703,39.606688,0,,,
Point 74,#icon-1739-0288D1-nodesc,-88.5118456,39.5095834,0,,,
Point 75,#icon-1739-0288D1-nodesc,-87.9295702,39.4162831,0,,,
Point 76,#icon-1739-0288D1-nodesc,-87.3802538,39.3738326,0,,,
Point 77,#icon-1739-0288D1-nodesc,-86.8968553,39.2973566,0,,,
Point 78,#icon-1739-0288D1-nodesc,-85.8494108,39.485713,0,,,
Point 79,#icon-1739-0288D1-nodesc,-84.5640104,39.485713,0,,,
Point 80,#icon-1739-0288D1-nodesc,-84.014694,39.5111455,0,,,
Point 81,#icon-1739-0288D1-nodesc,-83.3774869,39.5280954,0,,,
Point 82,#icon-1739-0288D1-nodesc,-82.586742,39.53894,0,,,
Point 83,#icon-1739-0288D1-nodesc,-82.0481412,39.6381686,0,,,
Point 84,#icon-1739-0288D1-nodesc,-81.0044401,39.7480669,0,,,
Point 85,#icon-1739-0288D1-nodesc,-84.0586393,41.6715839,0,,,
Point 86,#icon-1739-0288D1-nodesc,-84.6738737,41.6797899,0,,,
Point 87,#icon-1739-0288D1-nodesc,-85.355026,41.7208037,0,,,
Point 88,#icon-1739-0288D1-nodesc,-85.992233,41.7208037,0,,,
Point 89,#icon-1739-0288D1-nodesc,-86.4976041,41.753596,0,,,
Point 90,#icon-1739-0288D1-nodesc,-86.794235,41.712603,0,,,
Point 91,#icon-1739-0288D1-nodesc,-87.1128385,41.6223265,0,,,
Point 92,#icon-1739-0288D1-nodesc,-87.5742643,41.7453995,0,,,
Point 93,#icon-1739-0288D1-nodesc,-87.8159635,41.9254806,0,,,
Point 94,#icon-1739-0288D1-nodesc,-88.266403,41.9663374,0,,,
Point 95,#icon-1739-0288D1-nodesc,-88.8267057,41.933654,0,,,
Point 96,#icon-1739-0288D1-nodesc,-89.2771451,41.933654,0,,,
Point 97,#icon-1739-0288D1-nodesc,-89.672653,41.9091305,0,,,
Point 98,#icon-1739-0288D1-nodesc,-82.5769891,43.1483505,0,,,
Point 99,#icon-1739-0288D1-nodesc,-82.609424,43.663115,0,,,
Point 100,#icon-1739-0288D1-nodesc,-82.851124,44.074969,0,,,
Point 101,#icon-1739-0288D1-nodesc,-83.1702508,43.9683647,0,,,
Point 102,#icon-1739-0288D1-nodesc,-83.4229364,43.7306776,0,,,
Point 103,#icon-1739-0288D1-nodesc,-83.7085809,43.5955679,0,,,
Point 104,#icon-1739-0288D1-nodesc,-84.006733,43.573372,0,,,
Point 105,#icon-1739-0288D1-nodesc,-84.5655145,43.5637331,0,,,
Point 106,#icon-1739-0288D1-nodesc,-85.0708856,43.6432884,0,,,
Point 107,#icon-1739-0288D1-nodesc,-85.4004754,43.5716934,0,,,
Point 108,#icon-1739-0288D1-nodesc,-85.7959833,43.5955679,0,,,
Point 109,#icon-1739-0288D1-nodesc,-86.2354364,43.6035239,0,,,
Point 110,#icon-1739-0288D1-nodesc,-86.290368,43.2684642,0,,,
Point 111,#icon-1739-0288D1-nodesc,-86.1585321,42.7462638,0,,,
Point 112,#icon-1739-0288D1-nodesc,-86.2464227,42.4551357,0,,,
Point 113,#icon-1739-0288D1-nodesc,-86.3782587,42.1870739,0,,,
Point 114,#icon-1739-0288D1-nodesc,-86.3123407,44.1026336,0,,,
