"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"1002.1002","5786,5786,5786","18890,18890,18890","LineString","166.38","22",1002,1002,-60.967935,45.320202,-60.967935,45.320202,2013-09-20,2013-09-28
"1002.1004","5718,5736,5730,5745","16820,16820,16820,16820","LineString","166.38","86",1002,1004,-60.967935,45.320202,-60.968243,45.319553,2013-09-19,2013-10-07
"1002.1068","5740,5989","16820,16820","LineString","166.38","86",1002,1068,-60.967935,45.320202,-61.5423,45.0999,2013-10-06,2013-10-13
"1002.2804","5786","18890","LineString","166.38","22",2804,1002,-59.7907,43.9601,-60.967935,45.320202,2013-09-18,2013-09-20
"1002.2841","5710,5742","16820,16820","LineString","166.38","86",1002,2841,-60.967935,45.320202,-62.34769,44.91418,2013-09-16,2013-10-05
"1002.2847","5707,5712,5730,5722,5709,5748,5732,5717","16820,16820,16820,16820,16820,16820,16820,16820","LineString","166.38","86",1002,2847,-60.967935,45.320202,-61.45481,45.16746,2013-09-13,2013-10-12
"1004.1004","5726,5734","16820,16820","LineString","166.38","86",1004,1004,-60.968243,45.319553,-60.968243,45.319553,2013-09-27,2013-10-02
"1004.1005","5750","16820","LineString","166.38","86",1004,1005,-60.968243,45.319553,-64.840743,43.829059,2013-10-07,2013-10-21
"1004.1033","5733","16820","LineString","166.38","86",1004,1033,-60.968243,45.319553,-63.7937,44.4744,2013-09-20,2013-10-20
"1004.1068","5718,5725,5723,5728","16820,16820,16820,16820","LineString","166.38","86",1004,1068,-60.968243,45.319553,-61.5423,45.0999,2013-09-19,2013-10-02
"1004.1991","5713","16820","LineString","166.38","86",1004,1991,-60.968243,45.319553,-67.90574,44.4131,2013-09-29,2013-10-17
"1004.2829","5739","16820","LineString","166.38","86",1004,2829,-60.968243,45.319553,-63.38497,44.64854,2013-10-04,2013-10-20
"1004.2837","5715","16820","LineString","166.38","86",1004,2837,-60.968243,45.319553,-62.92378,44.72801,2013-09-15,2013-09-19
"1004.2841","5747","16820","LineString","166.38","86",1004,2841,-60.968243,45.319553,-62.34769,44.91418,2013-10-07,2013-10-10
"1004.2847","5719,5708,5720,5731,5725,5725,5716,5786,5726,5983,5746,5982,5749,5744","16820,16820,16820,16820,16820,16820,16820,18890,16820,16820,16820,16820,16820,16820","LineString","166.38","22,86",1004,2847,-60.968243,45.319553,-61.45481,45.16746,2013-09-16,2013-10-15
"1005.1005","5812","18890","LineString","166.38","22",1005,1005,-64.840743,43.829059,-64.840743,43.829059,2013-11-13,2013-11-17
"1005.1008","5896","5280","LineString","166.38","21",1008,1005,-60.0228,43.9321,-64.840743,43.829059,2013-08-10,2013-10-10
"1005.1033","5715,5768,5811,5796,5794","16820,18890,18890,18890,18890","LineString","166.38","22,86",1033,1005,-63.7937,44.4744,-64.840743,43.829059,2013-09-20,2013-10-08
"1005.2792","5811,5755,5977,5812,5947,5947","18890,18890,18890,18890,5280,5280","LineString","166.38","21,22",1005,2792,-64.840743,43.829059,-65.7436,43.4564,2013-10-04,2013-12-11
"1005.2829","5764","18890","LineString","166.38","22",2829,1005,-63.38497,44.64854,-64.840743,43.829059,2013-10-23,2013-10-24
"1005.2837","5808","18890","LineString","166.38","22",2837,1005,-62.92378,44.72801,-64.840743,43.829059,2013-10-08,2013-10-09
"1005.2853","5813,5767,5709,5977,5755,5790,5804,5907","18890,18890,16820,18890,18890,18890,18890,5280","LineString","166.38","21,22,86",2853,1005,-64.6074,44.0657,-64.840743,43.829059,2013-10-04,2013-11-13
"1005.2861","5813","18890","LineString","166.38","22",1005,2861,-64.840743,43.829059,-70.1532,43.68806,2013-10-05,2013-10-06
"1005.5840","5946,5945","5280,5280","LineString","166.38","21",1005,5840,-64.840743,43.829059,-64.3978,45.207,2013-12-09,2014-05-25
