"id","english","french","scientific","code","group","sort"
230,"Canada Goose","Bernache du Canada","Branta canadensis",NA,"BIRDS",168
360,"Wood Duck","Canard branchu","Aix sponsa",NA,"BIRDS",259
5970,"Rock Pigeon (Feral Pigeon)","Pigeon biset (forme domestique)","Columba livia (Feral Pigeon)",NA,"BIRDS",998
7060,"Yellow-billed Cuckoo","Coulicou à bec jaune","Coccyzus americanus",NA,"BIRDS",1698
7100,"Black-billed Cuckoo","Coulicou à bec noir","Coccyzus erythropthalmus",NA,"BIRDS",1703
7720,"Common Nighthawk","Engoulevent d'Amérique","Chordeiles minor",NA,"BIRDS",1861
7750,"Common Poorwill","Engoulevent de Nuttall","Phalaenoptilus nuttallii",NA,"BIRDS",1909
7871,"Eastern Whip-poor-will","Engoulevent bois-pourri","Antrostomus vociferus",NA,"BIRDS",1922
32874,"Eurasian Nightjar","Engoulevent d'Europe","Caprimulgus europaeus",NA,"BIRDS",1937
8040,"Chimney Swift","Martinet ramoneur","Chaetura pelagica",NA,"BIRDS",2034
3761,"King Rail","Râle élégant","Rallus elegans",NA,"BIRDS",2760
3751,"Clapper Rail","Râle tapageur","Rallus crepitans",NA,"BIRDS",2766
3770,"Virginia Rail","Râle de Virginie","Rallus limicola",NA,"BIRDS",2777
3830,"Sora","Marouette de Caroline","Porzana carolina",NA,"BIRDS",2858
41203,"Common Gallinule","Gallinule d'Amérique","Gallinula galeata",NA,"BIRDS",2869
3680,"Yellow Rail","Râle jaune","Coturnicops noveboracensis",NA,"BIRDS",2972
4280,"Black-winged Stilt","Échasse blanche","Himantopus himantopus",NA,"BIRDS",3057
4260,"American Oystercatcher","Huîtrier d'Amérique","Haematopus palliatus",NA,"BIRDS",3088
31383,"Magellanic Oystercatcher","Huîtrier de Garnot","Haematopus leucopodus",NA,"BIRDS",3092
4070,"Black-bellied Plover","Pluvier argenté","Pluvialis squatarola",NA,"BIRDS",3097
4100,"American Golden-Plover","Pluvier bronzé","Pluvialis dominica",NA,"BIRDS",3099
4110,"Pacific Golden-Plover","Pluvier fauve","Pluvialis fulva",NA,"BIRDS",3100
41600,"Snowy Plover","Pluvier neigeux","Charadrius nivosus",NA,"BIRDS",3159
4160,"Wilson's Plover","Pluvier de Wilson","Charadrius wilsonia",NA,"BIRDS",3164
4180,"Semipalmated Plover","Pluvier semipalmé","Charadrius semipalmatus",NA,"BIRDS",3166
4190,"Piping Plover","Pluvier siffleur","Charadrius melodus",NA,"BIRDS",3169
4530,"Whimbrel","Courlis corlieu","Numenius phaeopus",NA,"BIRDS",3218
4600,"Hudsonian Godwit","Barge hudsonienne","Limosa haemastica",NA,"BIRDS",3241
4630,"Ruddy Turnstone","Tournepierre à collier","Arenaria interpres",NA,"BIRDS",3244
4660,"Great Knot","Bécasseau de l'Anadyr","Calidris tenuirostris",NA,"BIRDS",3251
4670,"Red Knot","Bécasseau maubèche","Calidris canutus",NA,"BIRDS",3252
4730,"Temminck's Stint","Bécasseau de Temminck","Calidris temminckii",NA,"BIRDS",3261
4680,"Sanderling","Bécasseau sanderling","Calidris alba",NA,"BIRDS",3265
4820,"Dunlin","Bécasseau variable","Calidris alpina",NA,"BIRDS",3266
4800,"Purple Sandpiper","Bécasseau violet","Calidris maritima",NA,"BIRDS",3280
4750,"Least Sandpiper","Bécasseau minuscule","Calidris minutilla",NA,"BIRDS",3286
4760,"White-rumped Sandpiper","Bécasseau à croupion blanc","Calidris fuscicollis",NA,"BIRDS",3287
4870,"Buff-breasted Sandpiper","Bécasseau roussâtre","Calidris subruficollis",NA,"BIRDS",3289
4780,"Pectoral Sandpiper","Bécasseau à poitrine cendrée","Calidris melanotos",NA,"BIRDS",3291
4690,"Semipalmated Sandpiper","Bécasseau semipalmé","Calidris pusilla",NA,"BIRDS",3294
4700,"Western Sandpiper","Bécasseau d'Alaska","Calidris mauri",NA,"BIRDS",3295
4890,"Short-billed Dowitcher","Bécassin roux","Limnodromus griseus",NA,"BIRDS",3300
4980,"American Woodcock","Bécasse d'Amérique","Scolopax minor",NA,"BIRDS",3315
4990,"Wilson's Phalarope","Phalarope de Wilson","Phalaropus tricolor",NA,"BIRDS",3350
5000,"Red-necked Phalarope","Phalarope à bec étroit","Phalaropus lobatus",NA,"BIRDS",3351
5010,"Red Phalarope","Phalarope à bec large","Phalaropus fulicarius",NA,"BIRDS",3352
4400,"Gray-tailed Tattler","Chevalier de Sibérie","Tringa brevipes",NA,"BIRDS",3362
4450,"Lesser Yellowlegs","Petit Chevalier","Tringa flavipes",NA,"BIRDS",3373
4460,"Marsh Sandpiper","Chevalier stagnatile","Tringa stagnatilis",NA,"BIRDS",3376
5170,"Herring Gull","Goéland argenté","Larus argentatus",NA,"BIRDS",3552
5280,"Great Black-backed Gull","Goéland marin","Larus marinus",NA,"BIRDS",3606
5460,"Least Tern","Petite Sterne","Sternula antillarum",NA,"BIRDS",3644
5520,"Black Tern","Guifette noire","Chlidonias niger",NA,"BIRDS",3661
5570,"Common Tern","Sterne pierregarin","Sterna hirundo",NA,"BIRDS",3672
5580,"Arctic Tern","Sterne arctique","Sterna paradisaea",NA,"BIRDS",3678
5650,"Black Skimmer","Bec-en-ciseaux noir","Rynchops niger",NA,"BIRDS",3713
45376,"Leach's Storm-Petrel","Océanite cul-blanc","Oceanodroma leucorhoa",NA,"BIRDS",3819
2510,"Least Bittern","Petit Blongios","Ixobrychus exilis",NA,"BIRDS",4177
2720,"Black-crowned Night-Heron","Bihoreau gris","Nycticorax nycticorax",NA,"BIRDS",4275
2810,"Roseate Spoonbill","Spatule rosée","Platalea ajaja",NA,"BIRDS",4343
