"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
2461,629,"Werden",2014-04-05,2014-08-08,3,"166.38","CAN","North America"
1336,630,"Long Point Eco-Adventures",2014-04-05,2014-08-08,3,"166.38","CAN","North America"
2439,631,"Waterford",2014-04-05,2014-08-11,3,"166.38","CAN","North America"
1060,632,"Haldimand Raptor Reserve",2014-04-05,2014-08-11,3,"166.38","CAN","North America"
1358,633,"Lower Big Creek",2014-04-05,2014-08-06,3,"166.38","CAN","North America"
1673,634,"Old Cut",2014-04-10,2014-08-05,3,"166.38","CAN","North America"
461,635,"BSC HQ",2014-04-05,2014-08-05,3,"166.38","CAN","North America"
897,636,"Fingal",2014-04-05,2014-06-18,3,"166.38","CAN","North America"
259,637,"Aylmer",2014-04-05,2014-08-12,3,"166.38","CAN","North America"
857,638,"Falconer_Farm",2014-04-12,2014-09-06,3,"166.38","CAN","North America"
236,639,"Arkey's Acres",2014-04-05,2014-08-11,3,"166.38","CAN","North America"
432,640,"Brantford_Airport",2014-04-10,2014-08-25,3,"166.38","CAN","North America"
837,641,"Exeter_Sewage_Lagoons",2014-04-11,2014-08-15,3,"166.38","CAN","North America"
1155,642,"Hullet_Provincial_Wildlife_Area",2014-04-11,2014-06-25,3,"166.38","CAN","North America"
792,643,"Earl_Rowe_PP",2014-04-14,2014-11-19,3,"166.38","CAN","North America"
2029,644,"Saugeen_Conservation_Authority_Formosa",2014-04-17,2014-11-20,3,"166.38","CAN","North America"
645,645,"Conestogo",2014-04-28,NA,3,"166.38","CAN","North America"
1815,646,"Point_Farms_Provincial_Park",2014-04-17,2014-06-25,3,"166.38","CAN","North America"
1765,647,"Pinery_Provincial_Park",2014-04-17,2014-08-15,3,"166.38","CAN","North America"
1338,648,"Long_Point_Tip",2014-04-18,2016-05-03,3,"166.38","CAN","North America"
1748,649,"Pelee_Island",2014-04-21,2014-11-11,3,"166.38","CAN","North America"
1108,650,"Hillman_Marsh",2014-04-22,2014-08-14,3,"166.38","CAN","North America"
1123,651,"Holiday_Beach_CA",2014-04-22,2014-08-14,3,"166.38","CAN","North America"
1249,652,"Komoka_Provincial_Park",2014-04-23,2014-08-12,3,"166.38","CAN","North America"
2501,653,"Wildwood_Conservation_Area",2014-04-23,2014-08-06,3,"166.38","CAN","North America"
1950,654,"Rock_Point_Provincial_Park",2014-04-24,2014-08-07,3,"166.38","CAN","North America"
2119,655,"Short_Hills_Provincial_Park",2014-04-24,2014-08-11,3,"166.38","CAN","North America"
1486,656,"Millgrove",2014-04-25,2014-11-20,3,"166.38","CAN","North America"
320,657,"Binbrook_Conservation_Area",2014-04-25,2014-08-11,3,"166.38","CAN","North America"
369,658,"Bolin_Port_Burwell",2014-04-27,2014-06-18,3,"166.38","CAN","North America"
1952,659,"Rondeau_Provincial_Park",2014-04-27,2014-08-14,3,"166.38","CAN","North America"
1622,660,"New_Farm",2014-04-28,2014-11-19,3,"166.38","CAN","North America"
2223,661,"Sydenham",2014-04-29,2014-06-24,3,"166.38","CAN","North America"
1148,662,"Hubbert",2014-04-29,2014-11-19,3,"166.38","CAN","North America"
455,663,"Bruce_Peninsula_National_Park",2014-04-30,2014-11-18,3,"166.38","CAN","North America"
